source,target,hop_length,path_count,intermediates
EGFR,STK11,2,2,"[TP53, KRAS]"
TP53,KRAS,2,2,"[EGFR, STK11]"
FOXO1,DOCK3,2,2,"[PTEN, PAX7]"
SMARCA4,ALK,2,2,"[EGFR, TP53]"
SMARCA4,TP53,2,2,"[EGFR, KRAS]"
SMARCA4,KRAS,2,2,"[EGFR, TP53]"
SMARCA4,STK11,2,2,"[TP53, KRAS]"
Shox2,TP53,2,2,"[EGFR, KRAS]"
SMARCA4,HER2,2,1,[EGFR]
SMARCA4,EHDPP,2,1,[EGFR]
SMARCA4,MYC,2,1,[EGFR]
SMARCA4,MAPK1,2,1,[EGFR]
SMARCA4,S768I/V769L,2,1,[EGFR]
SMARCA4,C797S,2,1,[EGFR]
SMARCA4,E19del,2,1,[EGFR]
SMARCA4,CTNNB1,2,1,[EGFR]
SMARCA4,HER2/ErbB2,2,1,[EGFR]
SMARCA4,ALR2,2,1,[EGFR]
SMARCA4,EGFR,2,1,[TP53]
SMARCA4,SCLC-BM,2,1,[TP53]
SMARCA4,chemotherapy,2,1,[TP53]
SMARCA4,bax,2,1,[TP53]
SMARCA4,CDKN2A,2,1,[KRAS]
SMARCA4,G12D,2,1,[KRAS]
SMARCA4,BRAF,2,1,[KRAS]
SMARCA4,AMD1,2,1,[KRAS]
SMARCA4,G12C,2,1,[KRAS]
NKX2-1,TP53,2,1,[KRAS]
NKX2-1,STK11,2,1,[KRAS]
NKX2-1,CDKN2A,2,1,[KRAS]
NKX2-1,G12D,2,1,[KRAS]
NKX2-1,BRAF,2,1,[KRAS]
NKX2-1,AMD1,2,1,[KRAS]
NKX2-1,G12C,2,1,[KRAS]
CDKN2A,TP53,2,1,[KRAS]
CDKN2A,STK11,2,1,[KRAS]
CDKN2A,G12D,2,1,[KRAS]
CDKN2A,BRAF,2,1,[KRAS]
CDKN2A,AMD1,2,1,[KRAS]
CDKN2A,G12C,2,1,[KRAS]
Shox2,ALK,2,1,[EGFR]
Shox2,PTEN,2,1,[EGFR]
Shox2,KRAS,2,1,[EGFR]
Shox2,COX-2,2,1,[EGFR]
Shox2,HER2,2,1,[EGFR]
Shox2,EHDPP,2,1,[EGFR]
Shox2,MYC,2,1,[EGFR]
Shox2,MAPK1,2,1,[EGFR]
Shox2,S768I/V769L,2,1,[EGFR]
Shox2,C797S,2,1,[EGFR]
Shox2,E19del,2,1,[EGFR]
Shox2,CTNNB1,2,1,[EGFR]
Shox2,HER2/ErbB2,2,1,[EGFR]
Shox2,ALR2,2,1,[EGFR]
Shox2,STK11,2,1,[KRAS]
Shox2,CDKN2A,2,1,[KRAS]
Shox2,G12D,2,1,[KRAS]
Shox2,BRAF,2,1,[KRAS]
Shox2,AMD1,2,1,[KRAS]
Shox2,G12C,2,1,[KRAS]
LINE-1,HDAC1,2,1,[RB1]
LINE-1,SCLC-BM,2,1,[RB1]
LINE-1,E2F1,2,1,[RB1]
TG,RET,2,1,[ROS1]
Bax,Casp9,2,1,[Casp8]
Bax,Bcl2,2,1,[Casp9]
Casp8,Bcl2,2,1,[Casp9]
NRG1,hsa-miR-5010-5p,2,1,[SMAD4]
hsa-miR-149-5p,MHC-I,2,1,[NLRC5]
KLF6,FGFR3,2,1,[CTGF]
RACGAP1,YAP/TAZ,2,1,[p53]
